name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Start,15456,Valid,"Iron, ungrouped",16000000,Found,1/1/30 0:00,39.32322,-82.105892
Mile 1,18101,Valid,LL5,408000,Fell,1/1/30 0:00,39.324907,-82.093329
Mile 2,5014,Valid,CBa,118000,Found,1/1/30 0:00,39.33368,-82.082609
Mile 3,24139,Valid,"Iron, IIIAB",72700,Found,1/1/30 0:00,39.335693,-82.066401
Mile 4,12457,Valid,"Iron, IAB-MG",69800,Found,1/1/30 0:00,39.335035,-82.047598
Mile 5,16630,Valid,H5,57700,Found,1/1/30 0:00,39.335498,-82.046282
Mile 6,23893,Valid,H6,16600,Found,1/1/30 0:00,39.334994,-82.06464
Mile 7,23893,Valid,H6,16600,Found,1/1/30 0:00,39.334118,-82.081028
Mile 8,,,,,,,39.325936,-82.09278
Mile 9,,,,,,,39.324178,-82.096932
Mile 10,,,,,,,39.324035,-82.104512
End,,,,,,,39.323421,-82.106059
